Hostname,Total
ARCHCORE.AD.ADELAIDE.EDU.AU,0,0
TOKAY.AD.ADELAIDE.EDU.AU,0,0
ITSADMINS_MAC.AD.ADELAIDE.EDU.AU,0,0
STAFF.AD.ADELAIDE.EDU.AU,0,0
LR9DWARG.AD.ADELAIDE.EDU.AU,0,0
ORBITAL.AD.ADELAIDE.EDU.AU,0,0
BARNEY.AD.ADELAIDE.EDU.AU,0,0
LL3A2709.AD.ADELAIDE.EDU.AU,0,0
D00301BBC1EDF.AD.ADELAIDE.EDU.AU,0,0
MAWSONCORE.AD.ADELAIDE.EDU.AU,0,0
FLEXPOCSRV05.AD.ADELAIDE.EDU.AU,0,0
CERBERA.AD.ADELAIDE.EDU.AU,0,0
CBSBATDEV1.AD.ADELAIDE.EDU.AU,0,0
TIGER.AD.ADELAIDE.EDU.AU,0,0
ICENI.AD.ADELAIDE.EDU.AU,0,0
SS3.AD.ADELAIDE.EDU.AU,0,0
THETICK.AD.ADELAIDE.EDU.AU,0,0
SPEMECORE.AD.ADELAIDE.EDU.AU,0,0
D20902835.AD.ADELAIDE.EDU.AU,0,0
XLD0000.AD.ADELAIDE.EDU.AU,0,0
VMDS1DVA83.AD.ADELAIDE.EDU.AU,0,0
SPANKYHAM.AD.ADELAIDE.EDU.AU,0,0
LR9MT25C.AD.ADELAIDE.EDU.AU,0,0
OB.AD.ADELAIDE.EDU.AU,0,0
PSPRIDEV01.AD.ADELAIDE.EDU.AU,0,0
MANBEARPIG.AD.ADELAIDE.EDU.AU,0,0
TTWIN8.AD.ADELAIDE.EDU.AU,0,0
EPIC.AD.ADELAIDE.EDU.AU,0,0
D99BRR86.AD.ADELAIDE.EDU.AU,0,0
$NETBIOS_NAME.AD.ADELAIDE.EDU.AU,0,0
JAVELIN.AD.ADELAIDE.EDU.AU,0,0
BLOCK.AD.ADELAIDE.EDU.AU,0,0
TSTRNTRIM01.AD.ADELAIDE.EDU.AU,0,0
LR8LK501.AD.ADELAIDE.EDU.AU,0,0
LG1VFM1S.AD.ADELAIDE.EDU.AU,0,0
USCCORE.AD.ADELAIDE.EDU.AU,0,0
LR9PLNTF.AD.ADELAIDE.EDU.AU,0,0
GREYSKULL.AD.ADELAIDE.EDU.AU,0,0
ZONDA-OLD.AD.ADELAIDE.EDU.AU,0,0
D12801630.AD.ADELAIDE.EDU.AU,0,0
DL3D6833.AD.ADELAIDE.EDU.AU,0,0
D13600373.AD.ADELAIDE.EDU.AU,0,0
SECA.AD.ADELAIDE.EDU.AU,0,0
WAITEMAC.AD.ADELAIDE.EDU.AU,0,0
MECHVIBE13.AD.ADELAIDE.EDU.AU,0,0
PRINT04.AD.ADELAIDE.EDU.AU,0,0
PRINT03.AD.ADELAIDE.EDU.AU,0,0
VDI2VCENTER.AD.ADELAIDE.EDU.AU,0,0
VERONICALAP.AD.ADELAIDE.EDU.AU,0,0
WINDEVFILES.AD.ADELAIDE.EDU.AU,0,0
TEST.AD.ADELAIDE.EDU.AU,0,0
LL3AV381.AD.ADELAIDE.EDU.AU,0,0
P2K3APP006.AD.ADELAIDE.EDU.AU,0,0
6WHWN1S.AD.ADELAIDE.EDU.AU,0,0
PROXYUAT2.AD.ADELAIDE.EDU.AU,0,0
DR8R9AKW.AD.ADELAIDE.EDU.AU,0,0
SCYLLA.AD.ADELAIDE.EDU.AU,0,0
VDI1ICS01.AD.ADELAIDE.EDU.AU,0,0
SOLSTICE.AD.ADELAIDE.EDU.AU,0,0
VDI2ICS02.AD.ADELAIDE.EDU.AU,0,0
CS-CIFS-TEST.AD.ADELAIDE.EDU.AU,0,0
UOFAUSERS3TEST.AD.ADELAIDE.EDU.AU,0,0
SCRATCHBOX-73.AD.ADELAIDE.EDU.AU,0,0
L92905698416.AD.ADELAIDE.EDU.AU,0,0
TSAPPDNA01.AD.ADELAIDE.EDU.AU,0,0
A1217432-PC.AD.ADELAIDE.EDU.AU,0,0
TSAPPDNA-WIN7.AD.ADELAIDE.EDU.AU,0,0
PULT-PRD-CAVA.AD.ADELAIDE.EDU.AU,0,0
U2K3APP007.AD.ADELAIDE.EDU.AU,0,0
U2K3APP006.AD.ADELAIDE.EDU.AU,0,0
